protocol_seed,bsc,method,sessions,certification_rate,direct_output_rate,reuse_rate,fallback_rate,false_certification_rate,bad_reuse_rate,candidate_identity_rate_among_certified,candidate_identity_rate_among_direct_outputs,candidate_identity_rate_among_reuses,candidate_good_rate_among_certified,completion_verifier_good_rate,service_completion_rate,mean_protocol_bits,mean_protocol_forward_bits,mean_protocol_reverse_bits,mean_fallback_bits,mean_completion_forward_bits,mean_completion_bits,saving_vs_always_refresh,mean_audit_bits,mean_attempts,mean_logical_round_trips
14611438597939087046,0.05,bonferroni512,500,0.45,0.0,0.45,0.55,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,808.0,656.0,152.0,2349.6,3005.6,3157.6,0.26086142322097383,512.0,1.0,1.0
14611438597939087046,0.05,int8_fallback,500,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,4272.0,4272.0,4272.0,0.0,0.0,0.0,0.0
14611438597939087046,0.05,proposal64_unverified,500,0.0,1.0,1.0,0.0,0.0,0.49,,0.49,0.49,,0.51,1.0,208.0,208.0,0.0,0.0,208.0,208.0,0.951310861423221,0.0,1.0,0.0
14611438597939087046,0.05,screened1024_heuristic,500,0.0,0.0,0.888,0.112,0.0,0.0,,,0.9977477477477478,,1.0,1.0,1320.0,1168.0,152.0,478.464,1646.464,1798.464,0.5790112359550562,1024.0,1.0,1.0
14611438597939087046,0.05,screened512_heuristic,500,0.0,0.0,0.808,0.192,0.0,0.0,,,1.0,,1.0,1.0,808.0,656.0,152.0,820.224,1476.224,1628.224,0.6188614232209738,512.0,1.0,1.0
14611438597939087046,0.05,sentrysem1,500,0.42,0.0,0.42,0.58,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,2254.256,1420.768,833.488,2477.76,3898.528,4732.016,-0.10768164794007484,472.832,1.0,4.694
14611438597939087046,0.05,sentrysem3,500,0.632,0.0,0.632,0.368,0.0,0.0,0.9936708860759493,,0.9936708860759493,1.0,1.0,1.0,4544.08,2793.984,1750.096,1572.096,4366.08,6116.176,-0.43168913857677915,1025.28,1.958,9.968
14611438597939087046,0.05,split256_256,500,0.638,0.0,0.638,0.362,0.0,0.0,0.9968652037617555,,0.9968652037617555,1.0,1.0,1.0,1432.0,1008.0,424.0,1546.464,2554.464,2978.464,0.3027940074906367,256.0,1.0,2.0
14611438597939087046,0.05,split512_512,500,0.79,0.0,0.79,0.21,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1944.0,1520.0,424.0,897.12,2417.12,2841.12,0.33494382022471914,512.0,1.0,2.0
15742982603362453269,0.0,bonferroni1024,500,0.804,0.0,0.804,0.196,0.0,0.0,0.9975124378109452,,0.9975124378109452,1.0,1.0,1.0,1320.0,1168.0,152.0,837.312,2005.312,2157.312,0.49501123595505625,1024.0,1.0,1.0
15742982603362453269,0.0,bonferroni512,500,0.584,0.0,0.584,0.416,0.0,0.0,0.9965753424657534,,0.9965753424657534,1.0,1.0,1.0,808.0,656.0,152.0,1777.152,2433.152,2585.152,0.39486142322097373,512.0,1.0,1.0
15742982603362453269,0.0,int8_fallback,500,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,4272.0,4272.0,4272.0,0.0,0.0,0.0,0.0
15742982603362453269,0.0,proposal64_unverified,500,0.0,1.0,1.0,0.0,0.0,0.4,,0.582,0.582,,0.6,1.0,208.0,208.0,0.0,0.0,208.0,208.0,0.951310861423221,0.0,1.0,0.0
15742982603362453269,0.0,screened1024_heuristic,500,0.0,0.0,0.916,0.084,0.0,0.0,,,0.9978165938864629,,1.0,1.0,1320.0,1168.0,152.0,358.848,1526.848,1678.848,0.6070112359550561,1024.0,1.0,1.0
15742982603362453269,0.0,screened512_heuristic,500,0.0,0.0,0.872,0.128,0.0,0.002,,,0.9954128440366973,,0.998,1.0,808.0,656.0,152.0,546.816,1202.816,1354.816,0.6828614232209738,512.0,1.0,1.0
15742982603362453269,0.0,sentrysem1,500,0.534,0.0,0.534,0.466,0.0,0.0,0.9962546816479401,,0.9962546816479401,1.0,1.0,1.0,2061.76,1297.28,764.48,1990.752,3288.032,4052.512,0.05137827715355803,414.72,1.0,4.24
15742982603362453269,0.0,sentrysem3,500,0.74,0.0,0.74,0.26,0.0,0.0,0.9918918918918919,,0.9918918918918919,1.0,1.0,1.0,3732.208,2294.944,1437.264,1110.72,3405.664,4842.928,-0.1336441947565543,811.776,1.74,8.082
15742982603362453269,0.0,split256_256,500,0.692,0.0,0.692,0.308,0.0,0.0,0.9971098265895953,,0.9971098265895953,1.0,1.0,1.0,1432.0,1008.0,424.0,1315.776,2323.776,2747.776,0.3567940074906367,256.0,1.0,2.0
15742982603362453269,0.0,split512_512,500,0.846,0.0,0.846,0.154,0.0,0.0,0.9952718676122931,,0.9952718676122931,1.0,1.0,1.0,1944.0,1520.0,424.0,657.888,2177.888,2601.888,0.3909438202247191,512.0,1.0,2.0
15742982603362453269,0.05,bonferroni1024,500,0.716,0.0,0.716,0.284,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1320.0,1168.0,152.0,1213.248,2381.248,2533.248,0.40701123595505617,1024.0,1.0,1.0
15742982603362453269,0.05,bonferroni512,500,0.442,0.0,0.442,0.558,0.0,0.0,0.995475113122172,,0.995475113122172,1.0,1.0,1.0,808.0,656.0,152.0,2383.776,3039.776,3191.776,0.2528614232209738,512.0,1.0,1.0
15742982603362453269,0.05,int8_fallback,500,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,4272.0,4272.0,4272.0,0.0,0.0,0.0,0.0
15742982603362453269,0.05,proposal64_unverified,500,0.0,1.0,1.0,0.0,0.0,0.524,,0.454,0.454,,0.476,1.0,208.0,208.0,0.0,0.0,208.0,208.0,0.951310861423221,0.0,1.0,0.0
15742982603362453269,0.05,screened1024_heuristic,500,0.0,0.0,0.894,0.106,0.0,0.0,,,0.9977628635346756,,1.0,1.0,1320.0,1168.0,152.0,452.832,1620.832,1772.832,0.5850112359550561,1024.0,1.0,1.0
15742982603362453269,0.05,screened512_heuristic,500,0.0,0.0,0.812,0.188,0.0,0.0,,,0.9926108374384236,,1.0,1.0,808.0,656.0,152.0,803.136,1459.136,1611.136,0.6228614232209737,512.0,1.0,1.0
15742982603362453269,0.05,sentrysem1,500,0.396,0.0,0.396,0.604,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,2261.888,1425.664,836.224,2580.288,4005.952,4842.176,-0.13346816479400747,475.136,1.0,4.712
15742982603362453269,0.05,sentrysem3,500,0.648,0.0,0.648,0.352,0.0,0.0,0.9969135802469136,,0.9969135802469136,1.0,1.0,1.0,4531.648,2787.008,1744.64,1503.744,4290.752,6035.392,-0.4127790262172284,1022.976,1.948,9.94
